ก.	k-@@-z^-0|
ก่อนหน้านี้	k-@@-n^-1|n-aa-z^-2|n-ii-z^-3|
ก่อสร้าง	k-@@-z^-1|s-aa-ng^-2|
ก้อน	k-@@-n^-2|
ก้อย	k-@@-j^-2|
ก้าว	k-aa-w^-2|
ก้าวร้าว	k-aa-w^-2|r-aa-w^-3|
ก้าวหน้า	k-aa-w^-2|n-aa-z^-2|
ก๊กมินตั๋ง	k-o-k^-3|m-i-n^-0|t-a-ng^-4|
ก๊าซ	k-aa-t^-3|
ก๋อง	k-@-ng^-4|
ข.	kh-@@-z^-4|
ขจรประศาสน์	kh-a-z^-1|c-@@-n^-0|pr-a-z^-1|s-aa-t^-1|
ขจัด	kh-a-z^-1|c-a-t^-1|
ขณะ	kh-a-z^-1|n-a-z^-1|
ขณะที่	kh-a-z^-1|n-a-z^-1|th-ii-z^-2|
ขณะนั้น	kh-a-z^-1|n-a-z^-1|n-a-n^-3|
ขณะนี้	kh-a-z^-1|n-a-z^-1|n-ii-z^-3|
ขณะเดียวกัน	kh-a-z^-1|n-a-z^-1|d-iia-w^-0|k-a-n^-0|
ขนบ	kh-a-z^-1|n-o-p^-1|
ขนมปัง	kh-a-z^-1|n-o-m^-4|p-a-ng^-0|
ขนส่ง	kh-o-n^-4|s-o-ng^-1|
ขนาด	kh-a-z^-1|n-aa-t^-1|
ขบคิด	kh-o-p^-1|kh-i-t^-3|
ขบวน	kh-a-z^-1|b-uua-n^-0|
ขบวนการ	kh-a-z^-1|b-uua-n^-0|k-aa-n^-0|
ขยะ	kh-a-z^-1|j-a-z^-1|
ขยัน	kh-a-z^-1|j-a-n^-4|
ขยับ	kh-a-z^-1|j-a-p^-1|
ขยับขยาย	kh-a-z^-1|j-a-p^-1|kh-a-z^-1|j-aa-j^-4|
ขยาย	kh-a-z^-1|j-aa-j^-4|
ขวด	kh-uua-t^-1|
ขวนขวาย	kh-uua-n^-4|khw-aa-j^-4|
ขวบ	kh-uua-p^-1|
ขวัญ	khw-a-n^-4|
ขวา	khw-aa-z^-4|
ขอ	kh-@@-z^-4|
ของ	kh-@@-ng^-4|
ของชำ	kh-@@-ng^-4|ch-a-m^-0|
ของเล่น	kh-@@-ng^-4|l-e-n^-2|
ของเสีย	kh-@@-ng^-4|s-iia-z^-4|
ของใช้	kh-@@-ng^-4|ch-a-j^-3|
ขอนแก่น	kh-@@-n^-4|k-x-n^-1|
ขอบข่าย	kh-@@-p^-1|kh-aa-j^-1|
ขอบคุณ	kh-@@-p^-1|kh-u-n^-0|
ขอบเขต	kh-@@-p^-1|kh-ee-t^-1|
ขอม	kh-@@-m^-4|
ขอร้อง	kh-@@-z^-4|r-@@-ng^-3|
ขัง	kh-a-ng^-4|
ขัด	kh-a-t^-1|
ขัดขวาง	kh-a-t^-1|khw-aa-ng^-4|
ขัดขืน	kh-a-t^-1|kh-vv-n^-4|
ขัดข้อง	kh-a-t^-1|kh-@-ng^-2|
ขัดสมาธิ	kh-a-t^-1|s-a-z^-1|m-aa-t^-1|
ขัดแย้ง	kh-a-t^-1|j-xx-ng^-3|
ขัน	kh-a-n^-4|
ขันธ์	kh-a-n^-4|
ขับ	kh-a-p^-1|
ขับถ่าย	kh-a-p^-1|th-aa-j^-1|
ขั้น	kh-a-n^-2|
ขั้นตอน	kh-a-n^-2|t-@@-n^-0|
ขั้นบันได	kh-a-n^-2|b-a-n^-0|d-a-j^-0|
ขา	kh-aa-z^-4|
ขาด	kh-aa-t^-1|
ขาดแคลน	kh-aa-t^-1|khl-xx-n^-0|
ขานรับ	kh-aa-n^-4|r-a-p^-3|
ขาย	kh-aa-j^-4|
ขายตัว	kh-aa-j^-4|t-uua-z^-0|
ขายปลีก	kh-aa-j^-4|pl-ii-k^-1|
ขาว	kh-aa-w^-4|
ขาเข้า	kh-aa-z^-4|kh-a-w^-2|
ขีด	kh-ii-t^-1|
ขีดสุด	kh-ii-t^-1|s-u-t^-1|
ขีปนาวุธ	kh-ii-z^-4|p-a-z^-1|n-aa-z^-0|w-u-t^-3|
ขี่	kh-ii-z^-1|
ขี้เกียจ	kh-ii-z^-2|k-iia-t^-1|
ขึ้น	kh-v-n^-2|
ขืน	kh-vv-n^-4|
ขุด	kh-u-t^-1|
ขุน	kh-u-n^-4|
ขุนนาง	kh-u-n^-4|n-aa-ng^-0|
ขูด	kh-uu-t^-1|
ข่มขู่	kh-o-m^-1|kh-uu-z^-1|
ข่มเหง	kh-o-m^-1|h-ee-ng^-4|
ข่าย	kh-aa-j^-1|
ข่ายงาน	kh-aa-j^-1|ng-aa-n^-0|
ข่าว	kh-aa-w^-1|
ข่าวกรอง	kh-aa-w^-1|kr-@@-ng^-0|
ข่าวคราว	kh-aa-w^-1|khr-aa-w^-0|
ข่าวลือ	kh-aa-w^-1|l-vv-z^-0|
ข่าวสาร	kh-aa-w^-1|s-aa-n^-4|
ข้อ	kh-@@-z^-2|
ข้อขัดแย้ง	kh-@@-z^-2|kh-a-t^-1|j-xx-ng^-3|
ข้อความ	kh-@@-z^-2|khw-aa-m^-0|
ข้อคิด	kh-@@-z^-2|kh-i-t^-3|
ข้อง	kh-@-ng^-2|
ข้องคับ	kh-@-ng^-2|kh-a-p^-3|
ข้องใจ	kh-@-ng^-2|c-a-j^-0|
ข้อจำกัด	kh-@@-z^-2|c-a-m^-0|k-a-t^-1|
ข้อดี	kh-@@-z^-2|d-ii-z^-0|
ข้อบังคับ	kh-@@-z^-2|b-a-ng^-0|kh-a-p^-3|
ข้อมูล	kh-@@-z^-2|m-uu-n^-0|
ข้อสงสัย	kh-@@-z^-2|s-o-ng^-4|s-a-j^-4|
ข้อสรุป	kh-@@-z^-2|s-a-z^-1|r-u-p^-1|
ข้อสังเกต	kh-@@-z^-2|s-a-ng^-4|k-ee-t^-1|
ข้อหา	kh-@@-z^-2|h-aa-z^-4|
ข้อห้าม	kh-@@-z^-2|h-aa-m^-2|
ข้ออ้าง	kh-@@-z^-2|z-aa-ng^-2|
ข้อเขียน	kh-@@-z^-2|kh-iia-n^-4|
ข้อเท็จจริง	kh-@@-z^-2|th-e-t^-3|c-i-ng^-0|
ข้อเรียกร้อง	kh-@@-z^-2|r-iia-k^-2|r-@@-ng^-3|
ข้อเสนอ	kh-@@-z^-2|s-a-z^-1|n-qq-z^-4|
ข้อเสีย	kh-@@-z^-2|s-iia-z^-4|
ข้อแก้ตัว	kh-@@-z^-2|k-xx-z^-2|t-uua-z^-0|
ข้อโต้แย้ง	kh-@@-z^-2|t-oo-z^-2|j-xx-ng^-3|
ข้าง	kh-aa-ng^-2|
ข้างต้น	kh-aa-ng^-2|t-o-n^-2|
ข้างนอก	kh-aa-ng^-2|n-@@-k^-2|
ข้างมาก	kh-aa-ng^-2|m-aa-k^-2|
ข้างหน้า	kh-aa-ng^-2|n-aa-z^-2|
ข้างใน	kh-aa-ng^-2|n-a-j^-0|
ข้าพเจ้า	kh-aa-z^-2|ph-a-z^-3|c-a-w^-2|
ข้าม	kh-aa-m^-2|
ข้าราชการ	kh-aa-z^-2|r-aa-t^-2|ch-a-z^-3|k-aa-n^-0|
ข้าว	kh-aa-w^-2|
ข้าวเปลือก	kh-aa-w^-2|pl-vva-k^-1|
ข้าวเหนียว	kh-aa-w^-2|n-iia-w^-4|
คง	kh-o-ng^-0|
คงจะ	kh-o-ng^-0|c-a-z^-1|
คงทน	kh-o-ng^-0|th-o-n^-0|
คงที่	kh-o-ng^-0|th-ii-z^-2|
คงสมพงษ์	kh-o-ng^-0|s-o-m^-4|ph-o-ng^-0|
คณบดี	kh-a-z^-3|n-a-z^-3|b-@@-z^-0|d-ii-z^-0|
คณะ	kh-a-z^-3|n-a-z^-3|
คณาจารย์	kh-a-z^-3|n-aa-z^-0|c-aa-n^-0|
คดี	kh-a-z^-3|d-ii-z^-0|
คติ	kh-a-z^-3|t-i-z^-1|
คน	kh-o-n^-0|
คนงาน	kh-o-n^-0|ng-aa-n^-0|
คนป่วย	kh-o-n^-0|p-uua-j^-1|
คนรัก	kh-o-n^-0|r-a-k^-3|
คนร้าย	kh-o-n^-0|r-aa-j^-3|
คนหนึ่ง	kh-o-n^-0|n-v-ng^-1|
คนเรา	kh-o-n^-0|r-a-w^-0|
คนใด	kh-o-n^-0|d-a-j^-0|
คนใดคนหนึ่ง	kh-o-n^-0|d-a-j^-0|kh-o-n^-0|n-v-ng^-1|
คนไข้	kh-o-n^-0|kh-a-j^-2|
คบ	kh-o-p^-3|
คบค้า	kh-o-p^-3|kh-aa-z^-3|
คบหา	kh-o-p^-3|h-aa-t^-4|
คม	kh-o-m^-0|
คมนาคม	kh-a-z^-2|m-a-z^-2|n-aa-z^-0|kh-o-m^-0|
ครบ	khr-o-p^-3|
ครบถ้วน	khr-o-p^-3|th-uua-n^-2|
ครม.	kh-@@-z^-0|r-@@-z^-0|m-@@-z^-0|
ครรภ์	kh-a-n^-0|
ครอง	khr-@@-ng^-0|
ครองชีพ	khr-@@-ng^-0|ch-ii-p^-2|
ครอบ	khr-@@-p^-2|
ครอบครอง	khr-@@-p^-2|khr-@@-ng^-0|
ครอบครัว	khr-@@-p^-2|khr-uua-z^-0|
ครอบคลุม	khr-@@-p^-2|khl-u-m^-0|
ครอบงำ	khr-@@-p^-2|ng-a-m^-0|
ครับ	khr-a-p^-3|
ครัวเรือน	khr-uua-z^-0|r-vva-n^-0|
ครั้ง	khr-a-ng^-3|
ครั้งคราว	khr-a-ng^-3|khr-aa-w^-0|
ครั้งนั้น	khr-a-ng^-3|n-a-n^-3|
ครั้งนี้	khr-a-ng^-3|n-ii-z^-3|
ครั้น	khr-a-n^-3|
คราประยูร	khr-aa-z^-0|pr-a-z^-1|j-uu-n^-0|
คราว	khr-aa-w^-0|
คราวนี้	khr-aa-w^-0|n-ii-z^-3|
คริสตจักร	khr-i-t^-3|t-a-z^-1|c-a-k^-1|
คริสต์	khr-i-t^-3|
คริสต์ศักราช	khr-i-t^-3|s-a-k^-1|k-a-z^-1|r-aa-t^-1|
ครึ่ง	khr-v-ng^-2|
ครุสชอฟ	khr-u-s^-3|ch-@@-f^-3|
ครู	khr-uu-z^-0|
ครูบาอาจารย์	khr-uu-z^-0|b-aa-z^-0|z-aa-z^-0|c-aa-n^-0|
คร่าว	khr-aa-w^-2|
คลอด	khl-@@-t^-2|
คลัง	khl-a-ng^-0|
คลาดเคลื่อน	khl-aa-t^-2|khl-vva-n^-2|
คลาย	khl-aa-j^-0|
คลาสสิค	khl-aa-t^-3|s-i-k^-1|
คลาสสิค	kl-aa-t^-3|s-i-k^-1|
คลี่คลาย	khl-ii-z^-2|khl-aa-j^-0|
คลื่น	khl-vv-n^-2|
คลุกคลี	khl-u-k^-3|khl-ii-z^-0|
คลุม	khl-u-m^-0|
คลุมเครือ	khl-u-m^-0|khr-vva-z^-0|
คล่อง	khl-@-ng^-2|
คล่องแคล่ว	khl-@-ng^-2|khl-x-w^-2|
คล้อยตาม	khl-@@-j^-3|t-aa-m^-0|
คล้าย	khl-aa-j^-3|
คล้ายคลึง	khl-aa-j^-3|khl-v-ng^-0|
คล้ำ	khl-a-m^-3|
ควง	kh-uua-ng^-0|
ควบกล้ำ	kh-uua-p^-2|kl-a-m^-2|
ควบคุม	kh-uua-p^-2|kh-u-m^-0|
ควบคู่	kh-uua-p^-2|kh-uu-z^-2|
ควร	kh-uua-n^-0|
ความ	khw-aa-m^-0|
ความคิด	khw-aa-m^-0|kh-i-t^-3|
ความจริง	khw-aa-m^-0|c-i-ng^-0|
ความจำ	khw-aa-m^-0|c-a-m^-0|
ความดัน	khw-aa-m^-0|d-a-n^-0|
ความผิด	khw-aa-m^-0|ph-i-t^-1|
ความหมาย	khw-aa-m^-0|m-aa-j^-4|
ความเห็น	khw-aa-m^-0|h-e-n^-4|
คอมพิวเตอร์	kh-@-m^-0|ph-i-w^-3|t-qq-z^-2|
คอมมิวนิสต์	kh-@-m^-0|m-i-w^-0|n-i-t^-3|
คอมมิวนิสต์	kh-@@-m^-0|m-i-w^-0|n-i-t^-3|
คอย	kh-@@-j^-0|
คอร์รัปชั่น	kh-@@-z^-0|r-a-p^-3|ch-a-n^-2|
คะ	kh-a-z^-3|
คะเน	kh-a-z^-3|n-ee-z^-0|
คะแนน	kh-a-z^-3|n-xx-n^-0|
คะแนนเสียง	kh-a-z^-3|n-xx-n^-0|s-iia-ng^-4|
คัด	kh-a-t^-3|
คัดค้าน	kh-a-t^-3|kh-aa-n^-3|
คัดลอก	kh-a-t^-3|l-@@-k^-2|
คัดเลือก	kh-a-t^-3|l-vva-k^-2|
คับ	kh-a-p^-3|
คับข้อง	kh-a-p^-3|kh-@-ng^-2|
คับแคบ	kh-a-p^-3|kh-xx-p^-2|
คับใจ	kh-a-p^-3|c-a-j^-0|
คัมภีร์	kh-a-m^-0|ph-ii-z^-0|
คั่งค้าง	kh-a-ng^-2|kh-aa-ng^-3|
คาด	kh-aa-t^-2|
คาดการณ์	kh-aa-t^-2|k-aa-n^-0|
คาดคิด	kh-aa-t^-2|kh-i-t^-3|
คาดฝัน	kh-aa-t^-2|f-a-n^-4|
คาดหมาย	kh-aa-t^-2|m-aa-j^-4|
คาดหวัง	kh-aa-t^-2|w-a-ng^-4|
คาถา	kh-aa-z^-0|th-aa-z^-4|
คาน	kh-aa-n^-0|
คาบเกี่ยว	kh-aa-p^-2|k-iia-w^-1|
คารามาซอฟ	kh-aa-z^-0|r-aa-z^-0|m-aa-z^-0|s-@@-p^-3|
คาร์บอนไดออกไซด์	kh-aa-z^-0|b-@-n^-0|d-a-j^-0|z-@-k^-3|s-aa-j^-0|
คาโบนิคแอสิด	kh-aa-z^-0|b-oo-z^-0|n-i-k^-1|z-xx-z^-0|s-i-t^-1|
คาโปน	kh-aa-z^-0|p-oo-n^-0|
คำ	kh-a-m^-0|
คำขาด	kh-a-m^-0|kh-aa-t^-1|
คำตอบ	kh-a-m^-0|t-@@-p^-1|
คำถาม	kh-a-m^-0|th-aa-m^-4|
คำนึง	kh-a-m^-0|n-v-ng^-0|
คำปรึกษา	kh-a-m^-0|pr-v-k^-1|s-aa-z^-4|
คำพูด	kh-a-m^-0|ph-uu-t^-2|
คำศัพท์	kh-a-m^-0|s-a-p^-1|
คำสอน	kh-a-m^-0|s-@@-n^-4|
คำสั่ง	kh-a-m^-0|s-a-ng^-1|
คำอธิบาย	kh-a-m^-0|z-a-z^-1|th-i-z^-3|b-aa-j^-0|
คิด	kh-i-t^-3|
คิดค้น	kh-i-t^-3|kh-o-n^-3|
คิดถึง	kh-i-t^-3|th-v-ng^-4|
คิดเห็น	kh-i-t^-3|h-e-n^-4|
คิว	kh-i-w^-0|
คีบ	kh-ii-p^-2|
คึกฤทธิ์	kh-v-k^-3|r-i-t^-3|
คืน	kh-vv-n^-0|
คืบหน้า	kh-vv-p^-2|n-aa-z^-2|
คือ	kh-vv-z^-0|
คุก	kh-u-k^-3|
คุกคาม	kh-u-k^-3|kh-aa-m^-0|
คุณ	kh-u-n^-0|
คุณค่า	kh-u-n^-0|kh-aa-z^-2|
คุณธรรม	kh-u-n^-0|n-a-z^-3|th-a-m^-0|
คุณประโยชน์	kh-u-n^-0|pr-a-z^-1|j-oo-t^-1|
คุณภาพ	kh-u-n^-0|n-a-z^-3|ph-aa-p^-2|
คุณลักษณะ	kh-u-n^-0|n-a-z^-3|l-a-k^-3|s-a-z^-1|n-a-z^-1|
คุณศัพท์	kh-u-n^-0|n-a-z^-3|s-a-p^-1|
คุณสมบัติ	kh-u-n^-0|n-a-z^-3|s-o-m^-4|b-a-t^-1|
คุณหญิง	kh-u-n^-0|j-i-ng^-4|
