*******************************************
วิธีการอ่าน  INDEX ของฐานข้อมูล LOTUS

ชุดข้อมูล	ลำดับที่	เลขที่ประโยค (ใช้อ้างอิงประกอบกับ XXsen.txt)
Da009	013	dt0384
Da009	014	dt0329
Da009	015	dt0405
Da009	016	dt0225
Da009	017	dt0125
Da009	018	dt0407
Da009	019	dt0324
Da009	020	dt0485
Da009	021	dt0325
Da009	022	dt0458
Da009	023	dt0249
Da009	024	dt0288
Da009	025	dt0084
Da009	026	dt0270
Da009	027	dt0332
Da009	028	dt0281
Da009	029	dt0204
Da009	030	dt0049
Da009	031	dt0029
Da009	032	dt0034
Da009	033	dt0076
Da009	034	dt0075
Da009	035	dt0304
Da009	036	dt0387
Da009	037	dt0119
Da009	038	dt0069
Da009	039	dt0087
Da009	040	dt0351
Da009	041	dt0319
Da009	042	dt0415
Da010	001	dt0164
Da010	002	dt0437
Da010	003	dt0117
Da010	004	dt0116
Da010	005	dt0038
Da010	006	dt0218
Da010	007	dt0417
Da010	008	dt0244
Da010	009	dt0177
Da010	010	dt0182
Da010	011	dt0470
Da010	012	dt0455
Da010	013	dt0132
Da010	014	dt0443
Da010	015	dt0040
Da010	016	dt0284
Da010	017	dt0031
Da010	018	dt0498
Da010	019	dt0051
Da010	020	dt0196
Da010	021	dt0398
Da010	022	dt0402
Da010	023	dt0206
Da010	024	dt0235
Da010	025	dt0141
Da010	026	dt0142
Da010	027	dt0275
Da010	028	dt0465
Da010	029	dt0318
Da010	030	dt0030
Da010	031	dt0377
Da010	032	dt0245
Da010	033	dt0391
Da010	034	dt0469
Da010	035	dt0105
Da010	036	dt0146
Da010	037	dt0403
Da010	038	dt0492
Da010	039	dt0013
Da010	040	dt0015
Da010	041	dt0464
Da010	042	dt0445
Da011	001	dt0074
Da011	002	dt0043
Da011	003	dt0342
Da011	004	dt0066
Da011	005	dt0148
Da011	006	dt0488
Da011	007	dt0109
Da011	008	dt0026
Da011	009	dt0299
Da011	010	dt0447
Da011	011	dt0482
Da011	012	dt0302
Da011	013	dt0312
Da011	014	dt0313
Da011	015	dt0364
Da011	016	dt0260
Da011	017	dt0155
Da011	018	dt0092
Da011	019	dt0448
Da011	020	dt0071
Da011	021	dt0416
Da011	022	dt0497
Da011	023	dt0372
Da011	024	dt0269
Da011	025	dt0014
Da011	026	dt0097
Da011	027	dt0252
Da011	028	dt0434
Da011	029	dt0166
Da011	030	dt0397
Da011	031	dt0484
Da011	032	dt0383
Da011	033	dt0106
Da011	034	dt0060
Da011	035	dt0070
Da011	036	dt0059
Da011	037	dt0024
Da011	038	dt0154
Da011	039	dt0380
Da011	040	dt0248
Da011	041	dt0491
Da011	042	dt0179
Da012	001	dt0467
Da012	002	dt0200
Da012	003	dt0033
Da012	004	dt0468
Da012	005	dt0346
Da012	006	dt0476
Da012	007	dt0421
Da012	008	dt0432
Da012	009	dt0357
Da012	010	dt0183
Da012	011	dt0305
Da012	012	dt0090
Da012	013	dt0165
Da012	014	dt0296
Da012	015	dt0487
Da012	016	dt0243
Da012	017	dt0369
Da012	018	dt0023
Da012	019	dt0459
Da012	020	dt0463
Da012	021	dt0242
Da012	022	dt0147
Da012	023	dt0067
Da012	024	dt0425
Da012	025	dt0161
Da012	026	dt0048
Da012	027	dt0233
Da012	028	dt0350
Da012	029	dt0414
Da012	030	dt0021
Da012	031	dt0297
Da012	032	dt0091
Da012	033	dt0331
Da012	034	dt0041
Da012	035	dt0300
Da012	036	dt0122
Da012	037	dt0181
Da012	038	dt0136
Da012	039	dt0169
Da012	040	dt0005
Da012	041	dt0336
Da012	042	dt0275
Ea001	001	et0439
Ea001	002	et0325
Ea001	003	et0053
Ea001	004	et0056
Ea001	005	et0473
Ea001	006	et0239
Ea001	007	et0180
Ea001	008	et0001
Ea001	009	et0123
Ea001	010	et0315
Ea001	011	et0498
Ea001	012	et0129
Ea001	013	et0362
Ea001	014	et0246
Ea001	015	et0160
Ea001	016	et0375
Ea001	017	et0229
Ea001	018	et0039
Ea001	019	et0437
Ea001	020	et0432
Ea001	021	et0235
Ea001	022	et0018
Ea001	023	et0346
Ea001	024	et0489
Ea001	025	et0448
Ea001	026	et0369
Ea001	027	et0031
Ea001	028	et0491
Ea001	029	et0121
Ea001	030	et0085
Ea001	031	et0226
Ea001	032	et0450
Ea001	033	et0202
Ea001	034	et0477
Ea001	035	et0376
Ea001	036	et0125
Ea001	037	et0401
Ea001	038	et0327
Ea001	039	et0089
Ea001	040	et0482
Ea001	041	et0030
Ea001	042	et0486
Ea002	001	et0037
Ea002	002	et0237
Ea002	003	et0122
Ea002	004	et0025
Ea002	005	et0043
Ea002	006	et0393
Ea002	007	et0320
Ea002	008	et0322
Ea002	009	et0144
Ea002	010	et0217
Ea002	011	et0493
Ea002	012	et0101
Ea002	013	et0302
Ea002	014	et0453
Ea002	015	et0411
Ea002	016	et0443
Ea002	017	et0094
Ea002	018	et0343
Ea002	019	et0357
Ea002	020	et0430
Ea002	021	et0326
Ea002	022	et0140
Ea002	023	et0061
Ea002	024	et0126
Ea002	025	et0269
Ea002	026	et0067
Ea002	027	et0058
Ea002	028	et0177
Ea002	029	et0299
Ea002	030	et0342
Ea002	031	et0464
Ea002	032	et0494
Ea002	033	et0131
Ea002	034	et0106
Ea002	035	et0374
Ea002	036	et0219
Ea002	037	et0032
Ea002	038	et0360
Ea002	039	et0258
Ea002	040	et0379
Ea002	041	et0241
Ea002	042	et0004
Ea003	001	et0378
Ea003	002	et0403
Ea003	003	et0080
Ea003	004	et0208
Ea003	005	et0099
Ea003	006	et0165
Ea003	007	et0472
Ea003	008	et0017
Ea003	009	et0139
Ea003	010	et0185
Ea003	011	et0175
Ea003	012	et0296
Ea003	013	et0052
Ea003	014	et0388
Ea003	015	et0390
Ea003	016	et0197
Ea003	017	et0395
Ea003	018	et0274
Ea003	019	et0442
Ea003	020	et0105
Ea003	021	et0092
Ea003	022	et0002
Ea003	023	et0427
Ea003	024	et0293
Ea003	025	et0384
Ea003	026	et0471
Ea003	027	et0188
Ea003	028	et0169
Ea003	029	et0372
Ea003	030	et0161
Ea003	031	et0081
Ea003	032	et0267
Ea003	033	et0429
Ea003	034	et0133
Ea003	035	et0303
Ea003	036	et0368
Ea003	037	et0311
Ea003	038	et0228
Ea003	039	et0236
Ea003	040	et0304
Ea003	041	et0171
Ea003	042	et0127
Ea004	001	et0358
Ea004	002	et0466
Ea004	003	et0377
Ea004	004	et0176
Ea004	005	et0154
Ea004	006	et0116
Ea004	007	et0216
Ea004	008	et0463
Ea004	009	et0308
Ea004	010	et0024
Ea004	011	et0381
Ea004	012	et0016
Ea004	013	et0420
Ea004	014	et0021
Ea004	015	et0179
Ea004	016	et0057
Ea004	017	et0240
Ea004	018	et0331
Ea004	019	et0192
Ea004	020	et0210
Ea004	021	et0460
Ea004	022	et0456
Ea004	023	et0298
Ea004	024	et0183
Ea004	025	et0254
Ea004	026	et0333
Ea004	027	et0476
Ea004	028	et0262
Ea004	029	et0014
Ea004	030	et0367
Ea004	031	et0278
Ea004	032	et0387
Ea004	033	et0300
Ea004	034	et0118
Ea004	035	et0339
Ea004	036	et0091
Ea004	037	et0232
Ea004	038	et0454
Ea004	039	et0406
Ea004	040	et0410
Ea004	041	et0047
Ea004	042	et0074
Ea005	001	et0249
Ea005	002	et0198
Ea005	003	et0054
Ea005	004	et0330
Ea005	005	et0013
Ea005	006	et0371
Ea005	007	et0408
Ea005	008	et0441
Ea005	009	et0066
Ea005	010	et0078
Ea005	011	et0257
Ea005	012	et0445
Ea005	013	et0499
Ea005	014	et0147
Ea005	015	et0055
Ea005	016	et0337
Ea005	017	et0467
Ea005	018	et0082
Ea005	019	et0046
Ea005	020	et0040
Ea005	021	et0475
Ea005	022	et0260
Ea005	023	et0207
Ea005	024	et0164
Ea005	025	et0238
Ea005	026	et0382
Ea005	027	et0383
Ea005	028	et0088
Ea005	029	et0351
Ea005	030	et0227
Ea005	031	et0117
Ea005	032	et0005
Ea005	033	et0292
Ea005	034	et0138
Ea005	035	et0065
Ea005	036	et0407
Ea005	037	et0051
Ea005	038	et0027
Ea005	039	et0233
Ea005	040	et0097
Ea005	041	et0276
Ea005	042	et0396
Ea006	001	et0250
Ea006	002	et0009
Ea006	003	et0389
Ea006	004	et0109
Ea006	005	et0196
Ea006	006	et0178
Ea006	007	et0419
Ea006	008	et0284
Ea006	009	et0166
Ea006	010	et0455
Ea006	011	et0098
Ea006	012	et0451
Ea006	013	et0248
Ea006	014	et0422
Ea006	015	et0068
Ea006	016	et0484
Ea006	017	et0349
Ea006	018	et0338
Ea006	019	et0115
Ea006	020	et0190
Ea006	021	et0128
Ea006	022	et0449
Ea006	023	et0003
Ea006	024	et0012
Ea006	025	et0288
Ea006	026	et0073
Ea006	027	et0321
Ea006	028	et0490
Ea006	029	et0270
Ea006	030	et0186
Ea006	031	et0295
Ea006	032	et0100
Ea006	033	et0479
Ea006	034	et0194
Ea006	035	et0120
Ea006	036	et0076
Ea006	037	et0328
Ea006	038	et0336
Ea006	039	et0332
Ea006	040	et0350
Ea006	041	et0187
Ea006	042	et0104
Ea007	001	et0341
Ea007	002	et0173
Ea007	003	et0007
Ea007	004	et0035
Ea007	005	et0112
Ea007	006	et0380
Ea007	007	et0465
Ea007	008	et0146
Ea007	009	et0247
Ea007	010	et0431
Ea007	011	et0459
Ea007	012	et0086
Ea007	013	et0203
Ea007	014	et0405
Ea007	015	et0231
Ea007	016	et0492
Ea007	017	et0214
Ea007	018	et0361
Ea007	019	et0011
Ea007	020	et0069
Ea007	021	et0457
Ea007	022	et0272
Ea007	023	et0119
Ea007	024	et0096
Ea007	025	et0305
Ea007	026	et0306
Ea007	027	et0071
Ea007	028	et0446
Ea007	029	et0348
Ea007	030	et0452
Ea007	031	et0468
Ea007	032	et0310
Ea007	033	et0029
Ea007	034	et0006
Ea007	035	et0409
Ea007	036	et0090
Ea007	037	et0064
Ea007	038	et0418
Ea007	039	et0317
Ea007	040	et0256
Ea007	041	et0386
Ea007	042	et0356
Ea008	001	et0340
Ea008	002	et0108
Ea008	003	et0023
Ea008	004	et0392
Ea008	005	et0412
Ea008	006	et0251
Ea008	007	et0285
Ea008	008	et0170
Ea008	009	et0264
Ea008	010	et0414
Ea008	011	et0163
Ea008	012	et0316
Ea008	013	et0370
Ea008	014	et0413
Ea008	015	et0398
Ea008	016	et0182
Ea008	017	et0314
Ea008	018	et0399
Ea008	019	et0156
Ea008	020	et0402
Ea008	021	et0423
Ea008	022	et0253
Ea008	023	et0319
Ea008	024	et0359
Ea008	025	et0028
Ea008	026	et0225
Ea008	027	et0353
Ea008	028	et0113
Ea008	029	et0220
Ea008	030	et0435
Ea008	031	et0145
Ea008	032	et0077
Ea008	033	et0444
Ea008	034	et0385
Ea008	035	et0158
Ea008	036	et0083
Ea008	037	et0461
Ea008	038	et0496
Ea008	039	et0195
Ea008	040	et0059
Ea008	041	et0294
Ea008	042	et0421
Ea009	001	et0191
Ea009	002	et0425
Ea009	003	et0206
Ea009	004	et0355
Ea009	005	et0364
Ea009	006	et0397
Ea009	007	et0143
Ea009	008	et0033
Ea009	009	et0244
Ea009	010	et0438
Ea009	011	et0141
Ea009	012	et0150
Ea009	013	et0266
Ea009	014	et0075
Ea009	015	et0447
Ea009	016	et0230
Ea009	017	et0132
Ea009	018	et0110
Ea009	019	et0107
Ea009	020	et0345
Ea009	021	et0329
Ea009	022	et0400
Ea009	023	et0426
Ea009	024	et0136
Ea009	025	et0103
Ea009	026	et0095
Ea009	027	et0093
Ea009	028	et0200
Ea009	029	et0218
Ea009	030	et0279
Ea009	031	et0008
Ea009	032	et0265
Ea009	033	et0204
Ea009	034	et0045
Ea009	035	et0209
Ea009	036	et0224
Ea009	037	et0042
Ea009	038	et0038
Ea009	039	et0142
Ea009	040	et0474
Ea009	041	et0283
Ea009	042	et0174
Ea010	001	et0020
Ea010	002	et0036
Ea010	003	et0060
Ea010	004	et0312
Ea010	005	et0281
Ea010	006	et0234
Ea010	007	et0050
Ea010	008	et0344
Ea010	009	et0301
Ea010	010	et0404
Ea010	011	et0135
Ea010	012	et0152
Ea010	013	et0124
Ea010	014	et0151
Ea010	015	et0458
Ea010	016	et0318
Ea010	017	et0462
Ea010	018	et0026
Ea010	019	et0470
Ea010	020	et0347
Ea010	021	et0481
Ea010	022	et0130
Ea010	023	et0048
Ea010	024	et0134
Ea010	025	et0478
Ea010	026	et0153
Ea010	027	et0273
Ea010	028	et0289
Ea010	029	et0222
Ea010	030	et0287
Ea010	031	et0394
Ea010	032	et0297
Ea010	033	et0268
Ea010	034	et0436
Ea010	035	et0307
Ea010	036	et0157
Ea010	037	et0497
Ea010	038	et0313
Ea010	039	et0063
Ea010	040	et0223
Ea010	041	et0352
Ea010	042	et0366
Ea011	001	et0181
Ea011	002	et0172
Ea011	003	et0242
Ea011	004	et0280
Ea011	005	et0485
Ea011	006	et0215
Ea011	007	et0019
Ea011	008	et0324
Ea011	009	et0162
Ea011	010	et0415
Ea011	011	et0354
Ea011	012	et0010
Ea011	013	et0213
Ea011	014	et0034
Ea011	015	et0137
Ea011	016	et0363
Ea011	017	et0193
Ea011	018	et0417
Ea011	019	et0079
Ea011	020	et0114
Ea011	021	et0205
Ea011	022	et0259
Ea011	023	et0277
Ea011	024	et0252
Ea011	025	et0087
Ea011	026	et0199
Ea011	027	et0433
Ea011	028	et0155
Ea011	029	et0309
Ea011	030	et0084
Ea011	031	et0243
Ea011	032	et0245
Ea011	033	et0334
Ea011	034	et0189
Ea011	035	et0168
Ea011	036	et0282
Ea011	037	et0201
Ea011	038	et0022
Ea011	039	et0102
Ea011	040	et0041
Ea011	041	et0167
Ea011	042	et0044
Ea012	001	et0111
Ea012	002	et0261
Ea012	003	et0424
Ea012	004	et0488
Ea012	005	et0483
Ea012	006	et0255
Ea012	007	et0049
Ea012	008	et0365
Ea012	009	et0286
Ea012	010	et0290
Ea012	011	et0480
Ea012	012	et0495
Ea012	013	et0148
Ea012	014	et0440
Ea012	015	et0072
Ea012	016	et0212
Ea012	017	et0291
Ea012	018	et0323
Ea012	019	et0263
Ea012	020	et0062
Ea012	021	et0391
Ea012	022	et0149
Ea012	023	et0275
Ea012	024	et0500
Ea012	025	et0416
Ea012	026	et0184
Ea012	027	et0335
Ea012	028	et0159
Ea012	029	et0271
Ea012	030	et0211
Ea012	031	et0221
Ea012	032	et0070
Ea012	033	et0373
Ea012	034	et0487
Ea012	035	et0434
Ea012	036	et0015
Ea012	037	et0428
Ea012	038	et0469
Ea012	039	et0249
Ea012	040	et0155
Ea012	041	et0172
Ea012	042	et0009
Pa001	001	pd001 
Pa001	002	pd025 
Pa001	003	pd049 
Pa001	004	pd073	
Pa001	005	pd097	
Pa001	006	pd121	
Pa001	007	pd163	
Pa001	008	pd211	
Pa001	009	pd253	
Pa001	010	pd300	
Pa001	011	pd347	
Pa001	012	pd393	
Pa001	013	pd437	
Pa001	014	pd482	
Pa001	015	pd527	
Pa001	016	pd572	
Pa001	017	pd617	
Pa001	018	pd665	
Pa001	019	pd711	
Pa001	020	pd756	
Pa001	021	pd126	
Pa001	022	pd175	
Pa001	023	pd225	
Pa001	024	pd277	
Pa001	025	pd325	
Pa001	026	pd375	
Pa001	027	pd426	
Pa001	028	pd477	
Pa001	029	pd529	
Pa001	030	pd580	
Pa001	031	pd631	
Pa001	032	pd679	
Pa001	033	pd730	
Pa001	034	pd780	
Pa001	035	pd029
Pa002	001	pd001 
Pa002	002	pd025 
Pa002	003	pd049 
Pa002	004	pd073 
Pa002	005	pd097 
Pa002	006	pd121 
Pa002	007	pd164 
Pa002	008	pd212 
Pa002	009	pd254 
Pa002	010	pd301 
Pa002	011	pd348 
Pa002	012	pd394 
Pa002	013	pd438 
Pa002	014	pd483 
Pa002	015	pd528 
Pa002	016	pd573 
Pa002	017	pd618 
Pa002	018	pd666 
Pa002	019	pd712 
Pa002	020	pd757 
Pa002	021	pd127 
Pa002	022	pd176 
Pa002	023	pd226 
Pa002	024	pd278 
Pa002	025	pd326 
Pa002	026	pd376 
Pa002	027	pd427 
Pa002	028	pd479 
Pa002	029	pd530 
Pa002	030	pd581 
Pa002	031	pd632 
Pa002	032	pd680 
Pa002	033	pd731 
Pa002	034	pd781 
Pa002	035	pd030
Pa003	001	pd002			
Pa003	002	pd026			
Pa003	003	pd050			
Pa003	004	pd074			
Pa003	005	pd098			
Pa003	006	pd122			
Pa003	007	pd165			
Pa003	008	pd212			
Pa003	009	pd255			
Pa003	010	pd309			
Pa003	011	pd349			
Pa003	012	pd395			
Pa003	013	pd439			
Pa003	014	pd484			
Pa003	015	pd529
Pa003	016	pd574			
Pa003	017	pd619			
Pa003	018	pd667			
Pa003	019	pd713
Pa003	020	pd759			
Pa003	021	pd128			
Pa003	022	pd177
Pa003	023	pd227			
Pa003	024	pd279			
Pa003	025	pd327			
Pa003	026	pd377			
Pa003	027	pd428			
Pa003	028	pd480			
Pa003	029	pd531			
Pa003	030	pd582			
Pa003	031	pd633			
Pa003	032	pd681			
Pa003	033	pd732			
Pa003	034	pd782			
Pa003	035	pd031
Pa004	001	pd002		
Pa004	002	pd026		
Pa004	003	pd050		
Pa004	004	pd074		
Pa004	005	pd098		
Pa004	006	pd122		
Pa004	007	pd166		
Pa004	008	pd213		
Pa004	009	pd256		
Pa004	010	pd302		
Pa004	011	pd350		
Pa004	012	pd396		
Pa004	013	pd440		
Pa004	014	pd485		
Pa004	015	pd530		
Pa004	016	pd575		
Pa004	017	pd620		
Pa004	018	pd668		
Pa004	019	pd714		
Pa004	020	pd759		
Pa004	021	pd129		
Pa004	022	pd178		
Pa004	023	pd228		
Pa004	024	pd280		
Pa004	025	pd328		
Pa004	026	pd378		
Pa004	027	pd430		
Pa004	028	pd481		
Pa004	029	pd532		
Pa004	030	pd583		
Pa004	031	pd634		
Pa004	032	pd682		
Pa004	033	pd734		
Pa004	034	pd783		
Pa004	035	pd032
Pa005	001	pd003	
Pa005	002	pd027	
Pa005	003	pd051	
Pa005	004	pd075	
Pa005	005	pd099	
Pa005	006	pd123	
Pa005	007	pd167	
Pa005	008	pd214	
Pa005	009	pd257	
Pa005	010	pd303	
Pa005	011	pd351	
Pa005	012	pd397	
Pa005	013	pd441	
Pa005	014	pd486	
Pa005	015	pd531	
Pa005	016	pd576	
Pa005	017	pd621	
Pa005	018	pd669	
Pa005	019	pd715	
Pa005	020	pd760	
Pa005	021	pd130	
Pa005	022	pd179	
Pa005	023	pd229	
Pa005	024	pd281	
Pa005	025	pd329	
Pa005	026	pd379	
Pa005	027	pd431	
Pa005	028	pd482	
Pa005	029	pd533	
Pa005	030	pd584	
Pa005	031	pd635	
Pa005	032	pd683	
Pa005	033	pd735	
Pa005	034	pd784	
Pa005	035	pd033	
Pa006	001	pd003 
Pa006	002	pd027 
Pa006	003	pd051 
Pa006	004	pd075 
Pa006	005	pd099 
Pa006	006	pd123 
Pa006	007	pd168 
Pa006	008	pd215 
Pa006	009	pd258 
Pa006	010	pd304 
Pa006	011	pd352 
Pa006	012	pd398 
Pa006	013	pd442 
Pa006	014	pd487 
Pa006	015	pd532 
Pa006	016	pd577 
Pa006	017	pd622 
Pa006	018	pd670 
Pa006	019	pd716 
Pa006	020	pd762 
Pa006	021	pd131 
Pa006	022	pd180 
Pa006	023	pd231 
Pa006	024	pd282 
Pa006	025	pd330 
Pa006	026	pd380 
Pa006	027	pd432 
Pa006	028	pd483 
Pa006	029	pd534 
Pa006	030	pd586 
Pa006	031	pd636 
Pa006	032	pd684 
Pa006	033	pd736 
Pa006	034	pd785 
Pa006	035	pd034 
Pa007	001	pd004	
Pa007	002	pd028	
Pa007	003	pd052	
Pa007	004	pd076	
Pa007	005	pd100	
Pa007	006	pd124	
Pa007	007	pd169	
Pa007	008	pd216	
Pa007	009	pd259	
Pa007	010	pd305	
Pa007	011	pd353	
Pa007	012	pd399	
Pa007	013	pd443	
Pa007	014	pd488	
Pa007	015	pd533	
Pa007	016	pd578	
